customer_state,customer_city,total_revenue,unique_customers,revenue_per_customer
SC,Rio Rufino,59.0,1,59.0
PR,Nova America Da Colina,58.99,1,58.99
BA,Cairu,58.99,1,58.99
GO,Hidrolandia,58.99,1,58.99
PB,Pilar,58.99,1,58.99
CE,Uruburetama,58.99,1,58.99
CE,Croata,58.99,1,58.99
SP,Anhumas,58.99,1,58.99
MG,Paineiras,58.99,1,58.99
PR,Palmeirinha,58.919999999999995,2,29.46
BA,Castro Alves,58.9,2,29.45
PR,Porto Amazonas,58.79,2,29.4
PR,Matelandia,57.980000000000004,2,28.99
MS,Sonora,57.98,2,28.99
AM,Itacoatiara,57.98,1,57.98
RJ,Bacaxa,57.9,1,57.9
BA,Caem,57.9,1,57.9
MG,Dores De Guanhaes,57.9,1,57.9
PR,Barra Do Jacare,57.9,1,57.9
MG,Rubelita,57.89,1,57.89
PR,Santa Cecilia Do Pavao,56.99,1,56.99
RJ,Piao,56.99,1,56.99
BA,Varzea Do Poco,56.99,1,56.99
RS,Itaara,56.99,1,56.99
BA,Condeuba,56.99,1,56.99
PR,Alto Paraiso,56.99,1,56.99
SP,Iacri,56.98,2,28.49
PR,Inaja,56.9,2,28.45
ES,Sao Joao Do Sobrado,55.92,1,55.92
MG,Jaguaracu,55.9,1,55.9
BA,Dom Macedo Costa,55.9,1,55.9
PR,Campo Do Tenente,55.9,1,55.9
BA,Itamira,55.9,2,27.95
TO,Arapoema,55.9,1,55.9
MG,Berilo,55.9,1,55.9
SP,Itaoca,55.8,1,55.8
CE,Taperuaba,55.49,1,55.49
SP,Balbinos,55.32,1,55.32
BA,Salinas Da Margarida,55.0,1,55.0
RS,Novo Cabrais,55.0,1,55.0
MS,Porto Murtinho,55.0,1,55.0
MG,Tocos Do Moji,55.0,1,55.0
SP,Pereiras,54.99,1,54.99
MG,Canaa,54.99,1,54.99
PR,Alto Sao Joao,54.99,1,54.99
BA,Amargosa,54.99,1,54.99
BA,Carnaiba Do Sertao,54.98,1,54.98
PB,Santo Andre,54.9,1,54.9
SC,Guaraciaba,54.9,1,54.9
RS,Sete De Setembro,54.9,1,54.9
RS,Pouso Novo,54.9,1,54.9
PB,Prata,54.9,1,54.9
PR,Nossa Senhora Das Gracas,54.8,2,27.4
BA,Sento Se,53.99,1,53.99
